profileID,respID,qID,altID,obsID,type,price,freshness,image
30,11,8,3,88,Red Delicious,3.5,Excellent,redDelicious.jpg
23,12,1,1,89,Honeycrisp,3,Excellent,honeycrisp.jpg
101,12,1,2,89,Fuji,4,Poor,fuji.jpg
96,12,1,3,89,Fuji,3.5,Poor,fuji.jpg
17,12,2,1,90,Gala,2.5,Excellent,gala.jpg
90,12,2,2,90,Red Delicious,2.5,Poor,redDelicious.jpg
59,12,2,3,90,Pink Lady,3,Average,pinkLady.jpg
57,12,3,1,91,Gala,3,Average,gala.jpg
43,12,3,2,91,Honeycrisp,1.5,Average,honeycrisp.jpg
23,12,3,3,91,Honeycrisp,3,Excellent,honeycrisp.jpg
90,12,4,1,92,Red Delicious,2.5,Poor,redDelicious.jpg
100,12,4,2,92,Red Delicious,3.5,Poor,redDelicious.jpg
45,12,4,3,92,Red Delicious,1.5,Average,redDelicious.jpg
8,12,5,1,93,Honeycrisp,1.5,Excellent,honeycrisp.jpg
79,12,5,2,93,Pink Lady,1.5,Poor,pinkLady.jpg
36,12,5,3,93,Fuji,1,Average,fuji.jpg
67,12,6,1,94,Gala,4,Average,gala.jpg
39,12,6,2,94,Pink Lady,1,Average,pinkLady.jpg
33,12,6,3,94,Honeycrisp,4,Excellent,honeycrisp.jpg
38,12,7,1,95,Honeycrisp,1,Average,honeycrisp.jpg
90,12,7,2,95,Red Delicious,2.5,Poor,redDelicious.jpg
28,12,7,3,95,Honeycrisp,3.5,Excellent,honeycrisp.jpg
90,12,8,1,96,Red Delicious,2.5,Poor,redDelicious.jpg
81,12,8,2,96,Fuji,2,Poor,fuji.jpg
87,12,8,3,96,Gala,2.5,Poor,gala.jpg
53,13,1,1,97,Honeycrisp,2.5,Average,honeycrisp.jpg
102,13,1,2,97,Gala,4,Poor,gala.jpg
10,13,1,3,97,Red Delicious,1.5,Excellent,redDelicious.jpg
102,13,2,1,98,Gala,4,Poor,gala.jpg
41,13,2,2,98,Fuji,1.5,Average,fuji.jpg
8,13,2,3,98,Honeycrisp,1.5,Excellent,honeycrisp.jpg
1,13,3,1,99,Fuji,1,Excellent,fuji.jpg
80,13,3,2,99,Red Delicious,1.5,Poor,redDelicious.jpg
66,13,3,3,99,Fuji,4,Average,fuji.jpg
104,13,4,1,100,Pink Lady,4,Poor,pinkLady.jpg
78,13,4,2,100,Honeycrisp,1.5,Poor,honeycrisp.jpg
12,13,4,3,100,Gala,2,Excellent,gala.jpg
90,13,5,1,101,Red Delicious,2.5,Poor,redDelicious.jpg
72,13,5,2,101,Gala,1,Poor,gala.jpg
41,13,5,3,101,Fuji,1.5,Average,fuji.jpg
8,13,6,1,102,Honeycrisp,1.5,Excellent,honeycrisp.jpg
57,13,6,2,102,Gala,3,Average,gala.jpg
73,13,6,3,102,Honeycrisp,1,Poor,honeycrisp.jpg
52,13,7,1,103,Gala,2.5,Average,gala.jpg
97,13,7,2,103,Gala,3.5,Poor,gala.jpg
67,13,7,3,103,Gala,4,Average,gala.jpg
40,13,8,1,104,Red Delicious,1,Average,redDelicious.jpg
2,13,8,2,104,Gala,1,Excellent,gala.jpg
65,13,8,3,104,Red Delicious,3.5,Average,redDelicious.jpg
73,14,1,1,105,Honeycrisp,1,Poor,honeycrisp.jpg
7,14,1,2,105,Gala,1.5,Excellent,gala.jpg
77,14,1,3,105,Gala,1.5,Poor,gala.jpg
29,14,2,1,106,Pink Lady,3.5,Excellent,pinkLady.jpg
20,14,2,2,106,Red Delicious,2.5,Excellent,redDelicious.jpg
78,14,2,3,106,Honeycrisp,1.5,Poor,honeycrisp.jpg
80,14,3,1,107,Red Delicious,1.5,Poor,redDelicious.jpg
7,14,3,2,107,Gala,1.5,Excellent,gala.jpg
100,14,3,3,107,Red Delicious,3.5,Poor,redDelicious.jpg
45,14,4,1,108,Red Delicious,1.5,Average,redDelicious.jpg
76,14,4,2,108,Fuji,1.5,Poor,fuji.jpg
25,14,4,3,108,Red Delicious,3,Excellent,redDelicious.jpg
91,14,5,1,109,Fuji,3,Poor,fuji.jpg
13,14,5,2,109,Honeycrisp,2,Excellent,honeycrisp.jpg
84,14,5,3,109,Pink Lady,2,Poor,pinkLady.jpg
10,14,6,1,110,Red Delicious,1.5,Excellent,redDelicious.jpg
94,14,6,2,110,Pink Lady,3,Poor,pinkLady.jpg
41,14,6,3,110,Fuji,1.5,Average,fuji.jpg
12,14,7,1,111,Gala,2,Excellent,gala.jpg
8,14,7,2,111,Honeycrisp,1.5,Excellent,honeycrisp.jpg
71,14,7,3,111,Fuji,1,Poor,fuji.jpg
15,14,8,1,112,Red Delicious,2,Excellent,redDelicious.jpg
83,14,8,2,112,Honeycrisp,2,Poor,honeycrisp.jpg
49,14,8,3,112,Pink Lady,2,Average,pinkLady.jpg
39,15,1,1,113,Pink Lady,1,Average,pinkLady.jpg
87,15,1,2,113,Gala,2.5,Poor,gala.jpg
35,15,1,3,113,Red Delicious,4,Excellent,redDelicious.jpg
6,15,2,1,114,Fuji,1.5,Excellent,fuji.jpg
71,15,2,2,114,Fuji,1,Poor,fuji.jpg
4,15,2,3,114,Pink Lady,1,Excellent,pinkLady.jpg
74,15,3,1,115,Pink Lady,1,Poor,pinkLady.jpg
81,15,3,2,115,Fuji,2,Poor,fuji.jpg
48,15,3,3,115,Honeycrisp,2,Average,honeycrisp.jpg
8,15,4,1,116,Honeycrisp,1.5,Excellent,honeycrisp.jpg
53,15,4,2,116,Honeycrisp,2.5,Average,honeycrisp.jpg
67,15,4,3,116,Gala,4,Average,gala.jpg
53,15,5,1,117,Honeycrisp,2.5,Average,honeycrisp.jpg
101,15,5,2,117,Fuji,4,Poor,fuji.jpg
14,15,5,3,117,Pink Lady,2,Excellent,pinkLady.jpg
28,15,6,1,118,Honeycrisp,3.5,Excellent,honeycrisp.jpg
6,15,6,2,118,Fuji,1.5,Excellent,fuji.jpg
9,15,6,3,118,Pink Lady,1.5,Excellent,pinkLady.jpg
33,15,7,1,119,Honeycrisp,4,Excellent,honeycrisp.jpg
46,15,7,2,119,Fuji,2,Average,fuji.jpg
64,15,7,3,119,Pink Lady,3.5,Average,pinkLady.jpg
19,15,8,1,120,Pink Lady,2.5,Excellent,pinkLady.jpg
101,15,8,2,120,Fuji,4,Poor,fuji.jpg
98,15,8,3,120,Honeycrisp,3.5,Poor,honeycrisp.jpg
1,16,1,1,121,Fuji,1,Excellent,fuji.jpg
92,16,1,2,121,Gala,3,Poor,gala.jpg
52,16,1,3,121,Gala,2.5,Average,gala.jpg
94,16,2,1,122,Pink Lady,3,Poor,pinkLady.jpg
68,16,2,2,122,Honeycrisp,4,Average,honeycrisp.jpg
90,16,2,3,122,Red Delicious,2.5,Poor,redDelicious.jpg
75,16,3,1,123,Red Delicious,1,Poor,redDelicious.jpg
5,16,3,2,123,Red Delicious,1,Excellent,redDelicious.jpg
100,16,3,3,123,Red Delicious,3.5,Poor,redDelicious.jpg
19,16,4,1,124,Pink Lady,2.5,Excellent,pinkLady.jpg
35,16,4,2,124,Red Delicious,4,Excellent,redDelicious.jpg
33,16,4,3,124,Honeycrisp,4,Excellent,honeycrisp.jpg
103,16,5,1,125,Honeycrisp,4,Poor,honeycrisp.jpg
69,16,5,2,125,Pink Lady,4,Average,pinkLady.jpg
61,16,5,3,125,Fuji,3.5,Average,fuji.jpg
23,16,6,1,126,Honeycrisp,3,Excellent,honeycrisp.jpg
41,16,6,2,126,Fuji,1.5,Average,fuji.jpg
89,16,6,3,126,Pink Lady,2.5,Poor,pinkLady.jpg
63,16,7,1,127,Honeycrisp,3.5,Average,honeycrisp.jpg
49,16,7,2,127,Pink Lady,2,Average,pinkLady.jpg
85,16,7,3,127,Red Delicious,2,Poor,redDelicious.jpg
69,16,8,1,128,Pink Lady,4,Average,pinkLady.jpg
64,16,8,2,128,Pink Lady,3.5,Average,pinkLady.jpg
76,16,8,3,128,Fuji,1.5,Poor,fuji.jpg
2,17,1,1,129,Gala,1,Excellent,gala.jpg
18,17,1,2,129,Honeycrisp,2.5,Excellent,honeycrisp.jpg
4,17,1,3,129,Pink Lady,1,Excellent,pinkLady.jpg
87,17,2,1,130,Gala,2.5,Poor,gala.jpg
72,17,2,2,130,Gala,1,Poor,gala.jpg
65,17,2,3,130,Red Delicious,3.5,Average,redDelicious.jpg
75,17,3,1,131,Red Delicious,1,Poor,redDelicious.jpg
101,17,3,2,131,Fuji,4,Poor,fuji.jpg
11,17,3,3,131,Fuji,2,Excellent,fuji.jpg
30,17,4,1,132,Red Delicious,3.5,Excellent,redDelicious.jpg
44,17,4,2,132,Pink Lady,1.5,Average,pinkLady.jpg
5,17,4,3,132,Red Delicious,1,Excellent,redDelicious.jpg
56,17,5,1,133,Fuji,3,Average,fuji.jpg
15,17,5,2,133,Red Delicious,2,Excellent,redDelicious.jpg
79,17,5,3,133,Pink Lady,1.5,Poor,pinkLady.jpg
52,17,6,1,134,Gala,2.5,Average,gala.jpg
105,17,6,2,134,Red Delicious,4,Poor,redDelicious.jpg
61,17,6,3,134,Fuji,3.5,Average,fuji.jpg
89,17,7,1,135,Pink Lady,2.5,Poor,pinkLady.jpg
36,17,7,2,135,Fuji,1,Average,fuji.jpg
3,17,7,3,135,Honeycrisp,1,Excellent,honeycrisp.jpg
7,17,8,1,136,Gala,1.5,Excellent,gala.jpg
68,17,8,2,136,Honeycrisp,4,Average,honeycrisp.jpg
104,17,8,3,136,Pink Lady,4,Poor,pinkLady.jpg
53,18,1,1,137,Honeycrisp,2.5,Average,honeycrisp.jpg
101,18,1,2,137,Fuji,4,Poor,fuji.jpg
24,18,1,3,137,Pink Lady,3,Excellent,pinkLady.jpg
102,18,2,1,138,Gala,4,Poor,gala.jpg
68,18,2,2,138,Honeycrisp,4,Average,honeycrisp.jpg
67,18,2,3,138,Gala,4,Average,gala.jpg
11,18,3,1,139,Fuji,2,Excellent,fuji.jpg
74,18,3,2,139,Pink Lady,1,Poor,pinkLady.jpg
93,18,3,3,139,Honeycrisp,3,Poor,honeycrisp.jpg
87,18,4,1,140,Gala,2.5,Poor,gala.jpg
5,18,4,2,140,Red Delicious,1,Excellent,redDelicious.jpg
88,18,4,3,140,Honeycrisp,2.5,Poor,honeycrisp.jpg
32,18,5,1,141,Gala,4,Excellent,gala.jpg
89,18,5,2,141,Pink Lady,2.5,Poor,pinkLady.jpg
11,18,5,3,141,Fuji,2,Excellent,fuji.jpg
74,18,6,1,142,Pink Lady,1,Poor,pinkLady.jpg
79,18,6,2,142,Pink Lady,1.5,Poor,pinkLady.jpg
60,18,6,3,142,Red Delicious,3,Average,redDelicious.jpg
31,18,7,1,143,Fuji,4,Excellent,fuji.jpg
74,18,7,2,143,Pink Lady,1,Poor,pinkLady.jpg
45,18,7,3,143,Red Delicious,1.5,Average,redDelicious.jpg
59,18,8,1,144,Pink Lady,3,Average,pinkLady.jpg
24,18,8,2,144,Pink Lady,3,Excellent,pinkLady.jpg
